iloœc sprawdzanych dni: 27
iloœæ raportów NBP z tych dni (tylko dni pracuj¹ce): 19

Exchange rates: A, 001/A/NBP/2023, 2023-01-02
    currency:                            code:        value:
19  lej rumuñski                         RON      0.9608
20  lew (Bu³garia)                       BGN      2.4071
21  lira turecka                         TRY      0.2301
22  nowy izraelski szekel                ILS      1.2898
23  peso chilijskie                      CLP      0.005398
24  peso filipiñskie                     PHP      0.0793
25  peso meksykañskie                    MXN      0.2305
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2515
27  real (Brazylia)                      BRL      0.8418
28  ringgit (Malezja)                    MYR      1.0153
29  rupia indonezyjska                   IDR      0.00028911
30  rupia indyjska                       INR      0.053032
31  won po³udniowokoreañski              KRW      0.003508
32  yuan renminbi (Chiny)                CNY      0.6405
33  SDR (MFW)                            XDR      5.8503
iloœæ walut: 33

Exchange rates: A, 018/A/NBP/2023, 2023-01-26
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1323
 2  dolar amerykañski                    USD      4.3354
 3  dolar australijski                   AUD      3.0799
 4  dolar Hongkongu                      HKD      0.5537
 5  dolar kanadyjski                     CAD      3.2351
 6  dolar nowozelandzki                  NZD      2.8079
 7  dolar singapurski                    SGD      3.3034
 8  euro                                 EUR      4.7239
 9  forint (Wêgry)                       HUF      0.01216
10  frank szwajcarski                    CHF      4.7142
11  funt szterling                       GBP      5.369
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033362
14  korona czeska                        CZK      0.1987
15  korona duñska                        DKK      0.6351
16  korona islandzka                     ISK      0.030069
17  korona norweska                      NOK      0.4389
